key,mean,std,max,min,25,50,75,game,model,agent,n_trains,processing,target_update,frame_skip,update_frequency,batch_size,gamma,initial_learning_rate,annealing,optimizer,loss_function,weight_decay,layer_sizes
5724428816206153,-751.93,582.27,-112.0,-3360.0,-997.5,-547.0,-369.75,MountainCar-v0,DQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
9531118293608144,-391.28,181.57,-150.0,-1209.0,-466.0,-347.0,-265.5,MountainCar-v0,DDQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
12010682486587265,-182.08,53.68,-89.0,-765.0,-206.0,-187.0,-143.5,MountainCar-v0,DDQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
9054458352775128,-1387.32,1168.24,-177.0,-7131.0,-1617.25,-1126.0,-651.5,MountainCar-v0,DQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
19006136537201723,-169.31,56.12,-88.0,-470.0,-201.0,-161.0,-122.0,MountainCar-v0,DQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
7739599482440461,-610.8,392.88,-112.0,-2763.0,-763.5,-512.0,-362.0,MountainCar-v0,DQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
5361024861318404,-1732.72,1812.49,-372.0,-9363.0,-1803.0,-1048.0,-774.0,MountainCar-v0,DDQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
8619511559704592,-238.27,91.38,-110.0,-801.0,-275.0,-215.0,-172.5,MountainCar-v0,DDQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
10325290687112976,-793.25,368.53,-249.0,-2345.0,-951.5,-736.5,-541.5,Acrobot-v1,DQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
3139919476503089,-252.59,127.1,-70.0,-895.0,-308.5,-223.0,-167.5,Acrobot-v1,DDQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
15138730185798266,-173.09,118.99,-64.0,-2056.0,-192.0,-146.0,-117.0,Acrobot-v1,DQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
41361277988157474,-142.13,56.29,-67.0,-687.0,-165.0,-130.0,-107.0,Acrobot-v1,DDQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
40786911295503847,-173.83,77.09,-75.0,-690.0,-202.75,-155.5,-122.0,Acrobot-v1,DQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
3373984936142018,-143.88,54.92,-67.0,-491.0,-166.0,-131.0,-105.0,Acrobot-v1,DDQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
523423449233544,-740.12,354.44,-261.0,-1952.0,-921.0,-680.0,-473.0,Acrobot-v1,DDQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
5276512545943141,-850.49,421.62,-262.0,-2415.0,-1100.0,-737.0,-564.0,Acrobot-v1,DQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
5367150478045625,61.72,29.44,208.0,8.0,40.0,60.0,80.0,CartPole-v0,DDQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
7043329006170433,75.98,42.58,316.0,8.0,46.0,71.0,98.0,CartPole-v0,DDQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
9371402493922377,49.97,24.49,210.0,8.0,32.0,46.0,64.0,CartPole-v0,DQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
52319538516584,29.34,16.33,143.0,8.0,16.0,27.0,39.0,CartPole-v0,DQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
5595908380592702,69.09,36.72,255.0,8.0,43.0,63.0,88.0,CartPole-v0,DDQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
2836509686405956,41.02,21.86,184.0,8.0,26.0,38.0,52.0,CartPole-v0,DDQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
37456042487375774,36.33,22.0,171.0,8.0,19.0,33.0,48.0,CartPole-v0,DQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
010597292138828651,59.34,30.06,210.0,8.0,39.0,54.0,75.0,CartPole-v0,DQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
