game,model,target_update,learning_rate,anneal,loss_function,weight_decay
CartPole-v0,DQN_GS,False,0.0001,False,Huber,0.001
CartPole-v0,DQN_GS,False,0.001,False,MSE,0.001
CartPole-v0,DQN_GS,False,0.0001,False,MSE,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.001,True,MSE,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,False,MSE,0.001
CartPole-v0,DQN_GS,False,0.001,False,Huber,0.1
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,True,Huber,0.1
CartPole-v0,DQN_GS,False,0.001,False,MSE,0.1
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.001,False,MSE,0.1
CartPole-v0,DQN_GS,False,0.0001,False,MSE,0.1
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,False,MSE,0.1
CartPole-v0,DQN_GS,False,0.001,True,MSE,0.1
CartPole-v0,DQN_GS,True,0.0001,True,Huber,0.001
CartPole-v0,DQN_GS,True,0.0001,False,Huber,0.001
CartPole-v0,DQN_GS,True,0.001,True,Huber,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,False,Huber,0.001
CartPole-v0,DQN_GS,True,0.001,False,Huber,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,True,MSE,0.1
CartPole-v0,DQN_GS,False,0.0001,True,MSE,0.1
CartPole-v0,DQN_GS,True,0.001,False,MSE,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,False,MSE,0.001
CartPole-v0,DQN_GS,True,0.0001,False,MSE,0.001
CartPole-v0,DQN_GS,True,0.001,True,MSE,0.001
CartPole-v0,DQN_GS,True,0.0001,True,MSE,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,True,MSE,0.001
CartPole-v0,DQN_GS,True,0.001,False,Huber,0.1
CartPole-v0,DQN_GS,True,0.0001,False,Huber,0.1
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,False,Huber,0.1
CartPole-v0,DQN_GS,True,0.001,True,Huber,0.1
CartPole-v0,DQN_GS,True,0.0001,True,Huber,0.1
CartPole-v0,DQN_GS,True,0.001,False,MSE,0.1
CartPole-v0,DQN_GS,True,0.001,True,MSE,0.1
CartPole-v0,DQN_GS,True,0.0001,False,MSE,0.1
CartPole-v0,DQN_GS,True,0.0001,True,MSE,0.1
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,True,MSE,0.1
CartPole-v0,DQN_GS,True,0.001,False,Huber,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,False,Huber,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.001,False,MSE,0.1
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.001,True,MSE,0.1
CartPole-v0,DQN_GS,True,0.0001,False,Huber,0.001
CartPole-v0,DQN_GS,True,0.001,True,Huber,0.001
CartPole-v0,DQN_GS,True,0.0001,True,Huber,0.001
CartPole-v0,DQN_GS,True,0.001,False,MSE,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.001,False,MSE,0.001
CartPole-v0,DQN_GS,True,0.0001,False,MSE,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,False,MSE,0.001
CartPole-v0,DQN_GS,True,0.001,True,MSE,0.001
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.001,True,MSE,0.001
CartPole-v0,DQN_GS,True,0.0001,True,MSE,0.001
CartPole-v0,DQN_GS,True,0.001,False,Huber,0.1
CartPole-v0,DQN_GS,True,0.0001,False,Huber,0.1
CartPole-v0,DQN_GS,True,0.001,True,Huber,0.1
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,False,Huber,0.1
CartPole-v0,DQN_GS,True,0.001,False,MSE,0.1
CartPole-v0,DQN_GS,True,0.0001,True,Huber,0.1
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.001,False,MSE,0.1
CartPole-v0,DQN_GS,True,0.0001,False,MSE,0.1
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,False,MSE,0.1
CartPole-v0,DQN_GS,True,0.001,True,MSE,0.1
CartPole-v0,DQN_GS,True,0.0001,True,MSE,0.1
CartPole-v0,DDQN_GS,sort of. this is a DDQN,0.0001,True,MSE,0.1
Acrobot-v1,DDQN_GS,sort of. this is a DDQN,0.0001,False,MSE,0.1
Acrobot-v1,DQN_GS,True,0.0001,False,Huber,0.001
