key,mean,std,max,min,25,50,75,game,model,target_update,learning_rate,annealing,optimizer,loss_function,weight_decay
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_,32.94,19.85,200.0,9.0,18.0,30.0,44.0,CartPole-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,0.5
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,39.33,20.91,182.0,9.0,23.0,36.0,50.0,CartPole-v0,DQN_GS,0,0.001,True,RMSprop,Huber,0.1
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,48.56,23.38,203.0,9.0,32.0,45.0,61.0,CartPole-v0,DQN_GS,0,0.01,True,RMSprop,Huber,0.5
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,10.7,1.68,31.0,9.0,10.0,10.0,11.0,CartPole-v0,DQN_GS,0,0.001,True,RMSprop,Huber,1.0
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,10.7,1.69,36.0,9.0,10.0,10.0,11.0,CartPole-v0,DQN_GS,0,0.01,True,RMSprop,Huber,1.0
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,24.59,16.8,159.0,9.0,11.0,20.0,32.0,CartPole-v0,DQN_GS,0,0.001,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_,57.5,25.77,228.0,9.0,40.0,54.0,71.0,CartPole-v0,DDQN_GS,0,0.01,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_,18.79,11.53,120.0,9.0,11.0,16.0,22.0,CartPole-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,0.5
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_,37.3,21.99,165.0,9.0,20.0,33.0,50.0,CartPole-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_,44.56,23.82,208.0,9.0,27.0,42.0,58.0,CartPole-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,0.1
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,35.79,21.27,186.0,9.0,19.0,33.0,48.0,CartPole-v0,DQN_GS,0,0.01,True,RMSprop,Huber,0.1
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,10.69,1.66,35.0,9.0,10.0,10.0,11.0,CartPole-v0,DQN_GS,0,0.001,True,RMSprop,Huber,0.5
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_,51.88,23.79,260.0,9.0,36.0,49.0,65.0,CartPole-v0,DDQN_GS,0,0.01,True,RMSprop,Huber,1.0
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_,51.91,23.75,190.0,9.0,35.0,49.0,65.0,CartPole-v0,DDQN_GS,0,0.01,True,RMSprop,Huber,0.5
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,36.51,17.42,156.0,9.0,22.0,35.0,46.0,CartPole-v0,DQN_GS,0,0.01,True,RMSprop,Huber,0.5
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,40.02,20.68,206.0,9.0,25.0,37.0,51.0,CartPole-v0,DQN_GS,0,0.01,True,RMSprop,Huber,0.1
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,10.7,1.69,35.0,9.0,10.0,10.0,11.0,CartPole-v0,DQN_GS,0,0.01,True,RMSprop,Huber,1.0
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_,47.67,19.38,173.0,9.0,34.0,45.5,58.0,CartPole-v0,DQN_GS,0,0.001,True,RMSprop,Huber,0.5
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_,41.58,22.76,178.0,9.0,26.0,38.0,54.0,CartPole-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,1.0
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_,53.37,25.63,224.0,9.0,37.0,50.0,65.0,CartPole-v0,DDQN_GS,0,0.01,True,RMSprop,Huber,0.5
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu_,6828.18,5130.75,20002.0,803.0,2958.5,5248.5,9938.25,MountainCar-v0,DQN_GS,0,0.01,True,RMSprop,Huber,1.0
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu_,216.56,75.4,858.0,105.0,174.0,206.0,240.5,MountainCar-v0,DQN_GS,0,0.01,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu_,1235.94,1188.59,6186.0,233.0,523.5,864.0,1400.0,MountainCar-v0,DDQN_GS,0,0.001,True,RMSprop,Huber,1.0
