key,mean,std,max,min,25,50,75,game,model,agent,n_trains,processing,target_update,frame_skip,update_frequency,batch_size,gamma,initial_learning_rate,annealing,optimizer,loss_function,weight_decay
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,-603.8,416.39,-85.0,-3327.0,-774.0,-487.0,-313.5,MountainCar-v0,DQN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DQCNN_PCA_Mini_EpsilonGreedy_notes_cpu,-1512.4,1069.43,-189.0,-5972.0,-1967.5,-1189.0,-736.25,MountainCar-v0,DQCNN_PCA_Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DDQCNN_PCA_EpsilonGreedy_notes_cpu,-4444.78,3245.15,-249.0,-10002.0,-6740.0,-3306.0,-1535.0,MountainCar-v0,DDQCNN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-154.97,46.78,-84.0,-485.0,-183.0,-143.0,-117.0,MountainCar-v0,DQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DQCNN_PCA_Mini_EpsilonGreedy_notes_cpu,-1681.84,1317.23,-241.0,-7572.0,-2221.0,-1218.0,-717.0,MountainCar-v0,DQCNN_PCA_mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DQCNN_PCA_EpsilonGreedy_notes_cpu,-585.78,388.51,-108.0,-2873.0,-777.5,-461.5,-302.75,MountainCar-v0,DQCNN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DDQCNN_PCA_Mini_EpsilonGreedy_notes_cpu,-712.06,479.17,-130.0,-3596.0,-886.0,-581.0,-373.75,MountainCar-v0,DDQCNN_PCA_mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,-623.83,436.14,-107.0,-3447.0,-790.0,-478.0,-336.0,MountainCar-v0,DQN_PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,-6951.54,3270.69,-750.0,-10002.0,-10002.0,-8660.0,-3616.0,MountainCar-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DQN_GS_EpsilonGreedy_notes_cpu,-169.13,58.42,-86.0,-620.0,-202.25,-164.0,-120.0,MountainCar-v0,DQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
