key,mean,std,max,min,25,50,75,game,model,agent,n_trains,processing,target_update,frame_skip,update_frequency,batch_size,gamma,initial_learning_rate,annealing,optimizer,loss_function,weight_decay,layer_sizes
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,1076.52,639.97,3709.0,285.0,665.0,925.0,1208.0,MountainCar-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128]
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,610.22,417.83,2666.0,117.0,316.75,486.0,782.0,MountainCar-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64]
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,594.25,390.19,3046.0,98.0,308.5,500.0,771.0,MountainCar-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~128~64~32]
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,1082.36,666.57,4436.0,278.0,643.5,939.0,1353.25,MountainCar-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[64]
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,629.63,435.91,2519.0,116.0,333.0,486.0,796.0,MountainCar-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64~32]
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,853.17,407.26,2430.0,191.0,544.5,765.0,1095.75,Acrobot-v1,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64~32]
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,806.32,362.97,2089.0,185.0,522.0,736.0,1029.0,Acrobot-v1,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~128~64~32]
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,843.71,450.55,2476.0,181.0,550.5,742.0,987.5,Acrobot-v1,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128]
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,1705.06,1037.11,5609.0,349.0,903.0,1470.0,2149.5,Acrobot-v1,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64]
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,739.06,376.79,2204.0,167.0,457.0,669.0,917.0,Acrobot-v1,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[64]
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,30.78,16.0,124.0,9.0,17.0,29.0,40.0,CartPole-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64]
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,24.26,15.52,130.0,9.0,11.0,21.0,32.0,CartPole-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[64]
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,21.26,13.69,108.0,9.0,11.0,15.0,28.0,CartPole-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64~32]
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,14.04,5.26,63.0,9.0,10.0,11.0,17.0,CartPole-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~128~64~32]
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,27.71,16.7,141.0,9.0,12.0,26.0,38.0,CartPole-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128]
